algo,bench_size,rounds,build_time_s,build_mem_bytes,precision_mean,precision_std,precision_stderr,recall_mean,recall_std,recall_stderr,f1_mean,f1_std,f1_stderr,micro_precision_mean,micro_precision_std,micro_precision_stderr,micro_recall_mean,micro_recall_std,micro_recall_stderr,micro_f1_mean,micro_f1_std,micro_f1_stderr,total_tp,total_pred,total_truth
ivfflat,100,100,0.697245399998792,160153600,0.8389777777777777,0.029671552832842417,0.0029671552832842415,0.2635321800023808,0.021780015065108814,0.0021780015065108816,0.34663723190464824,0.021672181277322167,0.0021672181277322166,0.8408770853600416,0.02941334927447284,0.0029413349274472838,0.11827054907301736,0.016292097789894374,0.0016292097789894374,0.2069413201841962,0.02476872175333302,0.0024768721753333023,76593,91085,658920
ivfflat,500,100,0.697245399998792,160153600,0.839288888888889,0.012740505831363503,0.0012740505831363503,0.2639875471553336,0.009068820723379018,0.0009068820723379019,0.34742297588166715,0.00967233849726322,0.0009672338497263219,0.841183478500775,0.012599046909072098,0.0012599046909072098,0.11546594981432229,0.0067526766028845045,0.0006752676602884504,0.20298349795246978,0.010453760037439587,0.0010453760037439587,383051,455371,3328387
ivfflat,1000,100,0.697245399998792,160153600,0.8381611111111111,0.009034433789093396,0.0009034433789093396,0.2639379698298022,0.007112996581675802,0.0007112996581675802,0.3474814642449258,0.006903792108718469,0.0006903792108718469,0.8400778335530729,0.00896520548516056,0.000896520548516056,0.11593157364563296,0.005475418963299056,0.0005475418963299056,0.2036925030113392,0.008400153535947022,0.0008400153535947022,765144,910799,6614773
ivfflat,5000,100,0.697245399998792,160153600,0.8394240000000001,0.004059331366559541,0.00040593313665595405,0.2636979611703288,0.003089402834374771,0.0003089402834374771,0.3474499648454064,0.0030602008596243707,0.0003060200859624371,0.8413293078474537,0.00403018083917604,0.000403018083917604,0.11620491781149452,0.002312989157393136,0.0002312989157393136,0.20419517549324817,0.003552480191220574,0.0003552480191220574,3831458,4554050,32985033
ivfflat,10000,100,0.697245399998792,160153600,0.8392263333333334,0.0022145088665187786,0.00022145088665187786,0.26379085522689705,0.0020883225883592945,0.00020883225883592946,0.3474679217131449,0.0020773068023765546,0.00020773068023765547,0.8411370803949745,0.002194283770258357,0.0002194283770258357,0.11616683993101137,0.001430082532740688,0.0001430082532740688,0.2041372077390633,0.002215397969237563,0.0002215397969237563,7661291,9108254,65960367
hnsw,100,100,1.1326386000000639,149020672,0.82479,0.03146046791255604,0.0031460467912556036,0.24607504887458942,0.020012526108417316,0.0020012526108417316,0.33132987550719306,0.02152179376241954,0.002152179376241954,0.8211138512371405,0.0320653055081512,0.0032065305508151196,0.11483036253974147,0.01735042717993821,0.0017350427179938209,0.20099170333711525,0.02672768683998774,0.002672768683998774,75418,91852,671324
hnsw,500,100,1.1326386000000639,149020672,0.8244297777777778,0.01624783526632858,0.0016247835266328579,0.24779476140606782,0.009979416276037918,0.0009979416276037919,0.33341291910571635,0.010051916139651309,0.0010051916139651308,0.8208100104000313,0.01667171161504843,0.0016671711615048432,0.11585802388523608,0.007045996044681226,0.0007045996044681227,0.20296013963040427,0.010759049100574042,0.0010759049100574041,377139,459477,3267379
hnsw,1000,100,1.1326386000000639,149020672,0.8246387777777778,0.009633505241204949,0.0009633505241204949,0.24699038148695152,0.006482709003826591,0.0006482709003826591,0.3325875595606781,0.006795412881708128,0.0006795412881708128,0.8209531885413328,0.009919384068825213,0.0009919384068825213,0.11492844167089894,0.004833643674129639,0.0004833643674129639,0.20159254019365505,0.0074950561969723715,0.0007495056196972371,754353,918876,6574648
hnsw,5000,100,1.1326386000000639,149020672,0.8257288666666667,0.004570144131558091,0.0004570144131558091,0.24672406478942804,0.0029493834793005353,0.00029493834793005354,0.33210188497504234,0.0030772378757995948,0.00030772378757995945,0.8220539272897939,0.004709945081864811,0.0004709945081864811,0.11424517363525828,0.0020396474444209977,0.00020396474444209976,0.200603003259318,0.0031487649051143256,0.00031487649051143254,3776318,4593762,33064884
hnsw,10000,100,1.1326386000000639,149020672,0.8246243222222222,0.002970903614255712,0.0002970903614255712,0.24696196623428815,0.001685799962964053,0.00016857999629640532,0.33240970068948267,0.001903835340433356,0.0001903835340433356,0.8209238430807142,0.0030770307955859688,0.0003077030795585969,0.11427665626375023,0.0013236064570835541,0.00013236064570835542,0.20062247294401217,0.002058629039951851,0.0002058629039951851,7543019,9188457,66014881
